Regions,Number of community pharmacy and appliance contractors,Community pharmacy and appliance contractors providing AUR services1,,,Percentage of community pharmacy and appliance contractors providing AUR services,,,Total AURs,Average AURs per community pharmacy and appliance contractor,,,Number of community pharmacy and appliance contractors,Community pharmacy and appliance contractors providing AUR services,,,AurServices
Cheshire,300,0,0,0,0,0,0,0,0,0,0,301,0,0,0,170
Cumbria,461,5,3,8,-1.1,-0.7,-1.7,"1,518",304,49,208,460,5,3,8,2415
Durham,270,0,0,0,0,0,0,0,0,0,0,271,0,1,1,13
Greater Manchester,700,4,3,7,-0.6,-0.4,-1,329,82,71,77,704,5,4,9,1383
Lancashire ,393,1,3,4,-0.3,-0.8,-1,2,2,19,15,391,0,0,0,180
Merseyside,334,0,4,4,0,-1.2,-1.2,0,0,10,10,333,1,2,3,9
North Yorkshire and Humber,362,2,2,4,-0.6,-0.6,-1.1,59,30,18,24,364,1,4,5,110
South Yorkshire and Bassetlaw ,352,2,3,5,-0.6,-0.9,-1.4,13,7,11,9,357,1,1,2,10
West Yorkshire ,555,0,4,4,0,-0.7,-0.7,0,0,17,17,559,0,4,4,96
"Arden, Herefordshire and Worcestershire ",331,2,1,3,-0.6,-0.3,-0.9,241,121,30,90,335,2,2,4,316
Birmingham and The Black Country ,654,2,4,6,-0.3,-0.6,-0.9,797,399,31,154,657,4,8,12,1368
Derbyshire and Nottinghamshire ,445,6,1,7,-1.3,-0.2,-1.6,500,83,26,75,443,4,3,7,836
East Anglia,471,2,1,3,-0.4,-0.2,-0.6,"7,137","3,569",520,"2,552",470,2,2,4,8625
Essex ,339,1,1,2,-0.3,-0.3,-0.6,"1,943","1,943",10,977,342,2,1,3,2052
Hertfordshire and the South Midlands,545,0,4,4,0,-0.7,-0.7,0,0,3,3,546,0,2,2,28
Leicestershire and Lincolnshire ,346,0,1,1,0,-0.3,-0.3,0,0,34,34,349,1,0,1,20
Shropshire and Staffordshire ,341,0,0,0,0,0,0,0,0,0,0,341,3,4,7,107
London,1863,5,3,8,-0.3,-0.2,-0.4,"1,881",376,76,264,1868,6,5,11,1777
"Bath, Gloucestershire, Swindon and Wiltshire ",272,2,3,5,-0.7,-1.1,-1.8,14,7,21,16,272,3,4,7,75
"Bristol, North Somerset, Somerset and South Gloucestershire ",300,0,5,5,0,-1.7,-1.7,0,0,26,26,300,0,0,0,3780
"Devon, Cornwall and Isles of Scilly ",345,2,4,6,-0.6,-1.2,-1.7,254,127,23,58,348,2,3,5,247
Kent and Medway ,334,1,1,2,-0.3,-0.3,-0.6,332,332,43,188,334,1,0,1,315
Surrey and Sussex ,553,3,6,9,-0.5,-1.1,-1.6,"3,718","1,239",62,455,558,5,8,13,4006
Thames Valley Area ,375,3,6,9,-0.8,-1.6,-2.4,"7,111","2,370",403,"1,059",376,3,6,9,10074
Wessex ,518,2,5,7,-0.4,-1,-1.4,163,82,23,40,517,3,4,7,249
