RegionName,y2010,y2011,y2012,y2013,y2014,y2015,y2016
Los Angeles,404883.3333,382508.3333,379591.6667,435908.3333,483783.3333,515091.6667,553066.6667
San Diego,403033.3333,382025,388766.6667,449608.3333,488533.3333,517908.3333,547533.3333
Orange,540591.6667,510300,512608.3333,592091.6667,643908.3333,672183.3333,704675
Riverside,217658.3333,207500,212991.6667,256516.6667,294850,312466.6667,332958.3333
San Bernardino,185233.3333,176608.3333,179883.3333,215366.6667,251858.3333,271008.3333,294075
Santa Clara,660508.3333,630341.6667,664758.3333,773141.6667,853366.6667,969125,1060858.333
Alameda,495933.3333,459250,472483.3333,577383.3333,647775,730500,791541.6667
Sacramento,208433.3333,186300,187408.3333,234800,265825,285000,312233.3333
Contra Costa,381283.3333,344966.6667,342366.6667,418175,479383.3333,524683.3333,569775
Fresno,160833.3333,145491.6667,143116.6667,162508.3333,185416.6667,197808.3333,211316.6667
Kern,137266.6667,124175,127641.6667,148133.3333,166916.6667,178200,187116.6667
Ventura,444175,415350,414083.3333,465725,512850,540283.3333,570625
San Francisco,721458.3333,681841.6667,696466.6667,814091.6667,938408.3333,1075000,1142791.667
San Mateo,710775,684741.6667,706500,830041.6667,928300,1081433.333,1202133.333
San Joaquin,168333.3333,157858.3333,158916.6667,195883.3333,239866.6667,264983.3333,292325
Stanislaus,148541.6667,138450,139108.3333,164800,206233.3333,229925,253108.3333
Sonoma,399658.3333,361041.6667,361308.3333,424683.3333,479491.6667,530650,575066.6667
Tulare,137650,123325,122416.6667,137175,152925,165458.3333,177416.6667
Santa Barbara,472550,447583.3333,416750,476116.6667,528058.3333,564766.6667,604050
Monterey,323525,303075,302016.6667,347758.3333,411166.6667,435508.3333,474708.3333
Solano,230300,206891.6667,205933.3333,250483.3333,305700,339033.3333,370858.3333
Placer,311533.3333,292275,294850,345008.3333,387400,408575,429758.3333
San Luis Obispo,432750,398275,402425,450800,496916.6667,528400,565350
Santa Cruz,536975,512625,512325,584208.3333,644491.6667,693916.6667,747783.3333
Merced,113341.6667,111350,113091.6667,137516.6667,168633.3333,189525,209283.3333
Marin,776691.6667,727975,750991.6667,836808.3333,900841.6667,1005508.333,1113716.667
Butte,208575,189666.6667,189383.3333,206991.6667,222816.6667,232141.6667,250050
Yolo,266258.3333,248400,246783.3333,289700,336766.6667,361116.6667,387641.6667
El Dorado,298683.3333,278450,269141.6667,312150,347883.3333,368366.6667,399150
Shasta,185183.3333,167150,166058.3333,183783.3333,204400,214100,222841.6667
Imperial,121325,118241.6667,123800,131566.6667,148983.3333,162783.3333,181150
Kings,154641.6667,138408.3333,131575,141441.6667,155575,163700,174641.6667
Madera,153991.6667,142291.6667,139466.6667,157058.3333,183316.6667,194225,205391.6667
Napa,371758.3333,349966.6667,358608.3333,419241.6667,483775,525400,579991.6667
Humboldt,246958.3333,236166.6667,228733.3333,231266.6667,240966.6667,244616.6667,271233.3333
Nevada,329291.6667,293933.3333,279425,314166.6667,355641.6667,372433.3333,394141.6667
Sutter,167975,152575,145800,174350,210025,223908.3333,240991.6667
Mendocino,289816.6667,266316.6667,243275,271941.6667,310533.3333,319491.6667,354675
Yuba,153933.3333,136133.3333,126216.6667,143675,177341.6667,194166.6667,219483.3333
Tehama,115100,102183.3333,105691.6667,124350,144158.3333,156158.3333,167566.6667
San Benito,291583.3333,267450,274766.6667,341483.3333,406550,449150,480741.6667
Calaveras,220791.6667,201450,180633.3333,197600,224741.6667,245008.3333,262300
Siskiyou,131008.3333,152975,135633.3333,139500,149950,149733.3333,168608.3333
Amador,223325,185691.6667,192700,206091.6667,216858.3333,242450,266733.3333
Lassen,142708.3333,123391.6667,118400,120391.6667,112850,121458.3333,150558.3333
Colusa,145600,131616.6667,136550,135941.6667,172658.3333,191366.6667,201750
Plumas,212250,187783.3333,168633.3333,178633.3333,197450,197983.3333,212425
Inyo,284800,264566.6667,256833.3333,267366.6667,284858.3333,276225,291450
Mariposa,203691.6667,175708.3333,173700,193675,217683.3333,228433.3333,234491.6667
